fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.4,0.7,0.00,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5
7.8,0.88,0.00,2.6,0.098,25.0,67.0,0.9968,3.20,0.68,9.8,5
7.8,0.00,0.00,1.0,0.092,15.0,54.0,0.9970,3.26,0.65,9.8,5
11.2,0.28,0.47,1.9,0.075,17.0,60.0,0.9980,3.16,0.58,9.8,6
7.4,0.70,0.00,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5
7.9,0.60,0.04,1.8,0.069,6.0,25.0,0.9968,3.16,0.58,9.8,5
7.3,0.65,0.00,1.2,0.075,15.0,54.0,0.9968,3.26,0.65,9.8,5
7.8,0.58,0.00,1.5,0.071,11.0,34.0,0.9968,3.51,0.56,9.4,5
7.5,0.50,0.00,1.5,0.065,15.0,54.0,0.9968,3.26,0.65,9.8,5
7.5,0.50,0.00,1.5,0.065,15.0,54.0,0.9968,3.26,0.65,9.8,5
